name,ABA_routing,bank_country,account_number,IBAN,swift11,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Emma Taylor,098711563,GB,XEMB74306856655948,GB34XHUA22587092866817,SYJXGBDWGF5,1,59.13,1,0,Urban,1,Web,Discount,0,0.9560083581988058
Brandi Peterson,127604680,GB,ASSD30900469677387,GB46SISC33864481351336,TJNLGBEKPUM,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,0.7532838133114785
Juan White,113222283,GB,CBUG76716990167889,GB64ORUC17077862521880,WNAXGBQV9XF,1,616.73,0,1,Urban,1,Web,Discount,0,1.5255197502385611
Todd Lopez,073326274,GB,MQMF79863555539822,GB21CYUJ22060369933584,LTIHGBO53JX,11,219.04,1,1,Surburban,0,Phone,Discount,0,0.7272232577901159
Dominic Barnett,097344122,GB,PUYB46256353406520,GB90WITP63195094147814,QPSBGB73PGP,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0,1.0679464461642523
Sarah Smith,083679665,GB,EAHJ76239248216778,GB31YSLL07064928702771,PAOLGBFV7QB,1,137.29,0,1,Urban,0,Phone,No Offer,0,1.4593872435560407
Rodney Rodriguez,025384293,GB,PQDR75679073762393,GB43TNNS41339283691678,OYRWGBUCV6H,3,216.08,0,1,Urban,0,Phone,No Offer,0,0.8729553372439367
Rebecca Hernandez,017474085,GB,COYA10787844455077,GB69PQTN77210079990028,ZYQBGB0F2PA,1,418.68,0,1,Surburban,0,Web,No Offer,0,1.6946079670010807
Kim Rodriguez,098838297,GB,JJYF08796591610323,GB28UZPG74454255340516,AIPUGBDG3BS,8,130.31,1,0,Surburban,1,Phone,No Offer,0,0.5563904005537659
Brandon Mccormick,055777252,GB,AGZP13875724237025,GB72TGPD37515458670980,SOABGBN3R4L,1,179.63,1,0,Surburban,0,Phone,Discount,1,2.3086044711510008
Victoria Allen,112132617,GB,EKCF36929199028068,GB85WXXY33676495118902,RHNLGB3N9GF,7,340.18,0,1,Urban,0,Phone,No Offer,0,0.5821081994817707
Andrew Murphy,113515194,GB,QKHO92615401898065,GB54IXDP19129996663701,FZLFGB99ACR,2,118.4,1,0,Surburban,0,Web,Discount,1,2.1110619495250034
Eric Cook,085706934,GB,VHFG10400268341296,GB75EZID66022183241772,TVGGGBBJJTM,7,60.02,1,0,Surburban,1,Phone,Discount,0,0.9911492861941256
Craig Thomas,085157884,GB,NSRX45484871616319,GB64MLKD16792962450771,OUYGGBALTTF,7,29.99,1,0,Surburban,0,Web,No Offer,0,0.6891671984974979
Raymond Kramer,108280748,GB,SCZS40516846790913,GB57HSLP97895961361130,HPKCGBZBW9M,6,232.94,1,0,Surburban,1,Multichannel,Discount,0,1.2408277749685144
Bailey Kelly,036151033,GB,QBQT99803074905909,GB07OLSH24413492848114,RLJFGBR94O4,6,29.99,1,0,Surburban,1,Web,Buy One Get One,0,1.0838974728266164
Adrian Huerta,032534418,GB,RVYF49750686464846,GB64RQTM06488051934730,DRUOGBX71IY,8,69.67,1,0,Rural,1,Web,Buy One Get One,0,1.5462135138168809
Thomas James,075279523,GB,FXYW79399611045101,GB24MRAD72799355968746,ZRHRGB86BE1,8,60.69,1,0,Urban,1,Phone,Buy One Get One,0,0.6053956372164258
Robert Baker,106264627,GB,LKXD12598413071165,GB31DKEV44894208179899,NNHNGBYGCRC,4,224.04,1,0,Urban,0,Web,No Offer,0,1.3915477158736558
Jasmine Carey,048687456,GB,MPDF74874708291968,GB72YMXE92950379525115,TLDWGBVNFKH,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,2.377732478290522
Heather Dunn,091216353,GB,ZHGC27773455039565,GB56ZZAW42959501677581,MODRGBQHVN3,3,55.34,1,0,Surburban,1,Phone,Buy One Get One,0,0.5900950014964008
Courtney Jackson,078409141,GB,OTGL91163813599322,GB33PVYK94955127594101,WSRPGBYUC8Z,7,29.99,1,0,Surburban,1,Web,Discount,0,0.8035010178283315
Courtney Lloyd,104899528,GB,RKKG64717119930397,GB36LCCL25054653860693,PBBOGBHVX8Q,3,100.85,1,0,Urban,1,Phone,Discount,0,2.63217710493904
Jeremy Burke,118620262,GB,SQZI11473020466696,GB32NCLI72231879573859,XVUOGBU96LM,3,67.4,1,0,Surburban,0,Web,Discount,0,0.893548381565601
Roberta Peterson,111732377,GB,PLPO52378309508111,GB96PFMV59684707380530,MACQGBDUQTC,4,225.89,1,1,Rural,1,Web,Buy One Get One,0,1.2168661241298389
Kenneth Walsh,043778946,GB,TCNL15493134042763,GB12JJSZ12174410031337,SVVSGBHAHKB,6,464.17,0,1,Surburban,0,Multichannel,Buy One Get One,0,0.3032102876403767
Jonathan Marsh,103619958,GB,AMYZ18078799283851,GB25HUQW67705914452332,JOABGBCND71,7,291.88,1,0,Urban,0,Multichannel,No Offer,0,0.8675695122254969
Stephanie Lambert,059210333,GB,SORP04769210873326,GB36CDVZ46401366665480,VFQZGBCO3MC,4,249.61,0,1,Urban,1,Phone,Buy One Get One,0,1.4526035690450452
Susan Maddox,122350874,GB,YMGE98703295613559,GB97ZAHP84734436660993,PABIGB6IQRS,5,728.99,1,0,Urban,1,Web,Discount,0,0.9078820079812193
Suzanne Rodriguez,127874863,GB,AZJB22471196876729,GB31HXQA60594086091118,ISVWGB6G346,1,729.7,1,1,Surburban,1,Web,Discount,0,1.2738130799191334
Russell Jones,110726012,GB,XBSW74845643815954,GB76ACUC53135934460687,DVFZGB81PSS,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,1.0786175271685208
Russell Jones,110726012,GB,XBSW74845643815954,GB76ACUC53135934460687,DVFZGB81PSS,9,535.17,0,1,Surburban,1,Web,Discount,0,0.7145660358232567
Melissa Stevens,077254766,GB,GIIE27130988936965,GB82AXUV55373122292761,BOIJGB140XQ,1,259.91,0,1,Surburban,1,Web,No Offer,0,1.0316376682718442
Jessica Crawford,044385888,GB,JVVM81152764878030,GB67SNHL43185125313852,FMQQGBV4CLQ,2,203.52,1,1,Urban,1,Multichannel,No Offer,1,1.8147783346341746
Kathy Lawrence,059007096,GB,WBTR00429361328165,GB71NHFQ64004319404129,BKDBGBY991S,7,520.43,0,1,Surburban,1,Web,Discount,0,0.18558026072648026
Susan Wheeler,116577634,GB,XNAI51371912944244,GB36YUEA27385848277927,URUEGBMEXRB,10,61.09,0,1,Surburban,0,Web,Buy One Get One,0,1.1600325570985088
Troy Williams,098308471,GB,RKMA24482820491632,GB80QIKT30591973932978,VZWTGBMKFL1,4,218.92,0,1,Surburban,0,Web,Discount,1,1.210176265044916
Sabrina Oliver,110060095,GB,EKTL12817411615321,GB30SBLX58026859269179,QQFMGB7ZQC5,9,165.62,0,1,Urban,0,Web,No Offer,0,0.6970539938408722
Melissa Garcia,054345575,GB,PNNS95837659393633,GB89RCYJ88702331247042,GZONGB70O3P,6,64.33,1,0,Rural,0,Web,No Offer,1,1.2434788577604927
Dwayne Wise,041604261,GB,NEGW02530277907539,GB49FNWC64969011308474,QJFSGB6SR0X,9,54.34,1,0,Surburban,0,Phone,Discount,1,1.3639511377882862
Keith Willis,115538616,GB,UTWI67705624682125,GB50NLTT58640072295252,HRNYGB3WWA4,3,29.99,0,1,Urban,0,Web,Buy One Get One,0,0.5288309415818693
Dennis Black,033283425,GB,JTLC42268849460507,GB59QWIM79024881484183,JFCJGB3LGD6,2,235.19,1,0,Urban,1,Multichannel,Buy One Get One,0,1.155128219974014
Andres Haney,038512719,GB,WEQL80368911141475,GB20EXSG31591603740226,JWQCGBDYALZ,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0,0.2681740408313319
Michael Hamilton,089600926,GB,BUPZ52405599119995,GB70XVID12731144704314,VLZSGBLOYVM,8,64.16,0,1,Surburban,0,Web,Buy One Get One,0,0.8149234363688157
Eric Jones,056257124,GB,JKUN14653830043395,GB44LZFX62859749603932,BTUMGB7MUSN,1,293.37,1,0,Surburban,0,Phone,No Offer,0,1.549428023007457
Christina Flores,015122452,GB,QAOH83438264658621,GB12JVGG36474197620011,ARZGGB1Q71T,11,29.99,0,1,Rural,0,Web,Discount,0,0.9206819764632672
Todd Diaz,124712083,GB,QKTM76457320570833,GB57HMEZ12549392815865,ZHIOGBWVS7X,4,292.61,1,0,Surburban,0,Multichannel,No Offer,0,0.36425556183907837
Larry Walker,043568897,GB,IMXZ94622718872717,GB23BNAO79674078424327,FCNRGBJ5J4A,3,101.61,0,1,Surburban,1,Phone,No Offer,0,1.6063898821566056
Francisco Long,103365370,GB,RSEB66711785605982,GB74NGMS50103720763581,RQMHGBVNVJ4,1,1524.15,1,0,Rural,1,Web,No Offer,0,0.31673328486878827
Bob Meyer,032363977,GB,XLLJ00305283069479,GB48XMTV37768218993861,OENAGBARZ67,9,205.33,1,0,Surburban,1,Multichannel,Discount,0,0.7754713073012534
Brian Ortega,027969315,GB,CRPM36343342073419,GB54BYPZ73994917939780,LTLVGB2UPG6,7,59.96,1,0,Urban,1,Web,Buy One Get One,0,0.8088510674022819
Angel Mason,011066567,GB,LBYL78036861654718,GB80IWSR06548892906899,ZMXCGBE71EB,10,327.18,0,1,Urban,0,Phone,Buy One Get One,0,1.388507455433296
Lee Barrett,070753976,GB,CFOH10602396872351,GB76PNHC26710039755026,DEFPGBRZ5IS,3,109.34,0,1,Surburban,0,Phone,Discount,0,1.1646609237377343
Phillip Durham,024745639,GB,DSPJ44828952149506,GB44LBDG65955401276291,CQKQGBPCOGP,1,48.32,0,1,Urban,0,Web,No Offer,0,1.0161834876117095
Laura Hernandez,061584112,GB,UPJP01624123126027,GB29IKFV00247932588648,WTLIGBA2ZOC,5,141.74,1,0,Surburban,0,Web,No Offer,0,1.1508709931382293
Ms. Elizabeth Good MD,086632308,GB,BZAW91921153659831,GB69QFPA01067658927185,TLEZGBEFN52,12,69.08,0,1,Rural,0,Phone,Buy One Get One,0,0.4013243856624482
Joseph Reed,047500152,GB,IYIJ76558687753338,GB37ZKJL18845058521817,TGPKGBUTY58,6,128.01,0,1,Urban,0,Web,Discount,0,1.7036114771096718
Julie Powell,075250047,GB,LXYS24957614112703,GB67OKBN81091247620460,HAXVGBVKSJI,3,1570.59,1,1,Urban,1,Web,Buy One Get One,0,0.48874190918049765
Clayton Richard,042617875,GB,JFEG27612524007516,GB77SUKU02623353929999,WLYXGBAC0U4,4,320.17,0,1,Urban,1,Phone,Discount,0,0.897149251230289
Gregory Santos,045089387,GB,SPRV66046429084260,GB62AKYN41180179565181,LXZIGBTUIKM,3,29.99,1,0,Surburban,0,Phone,Discount,0,1.8826451546586576
Vincent Turner,029005688,GB,PGIR64173026194484,GB37BRDD72390160852015,FCSQGBXKXXD,4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0,0.581820698106942
William Griffin,065697872,GB,HNDP07189881414667,GB34HATF53229669188037,ERSGGBOGWWK,6,98.8,0,1,Rural,1,Phone,Discount,1,2.0198921056775623
George Adams,081511903,GB,ZPSN55192255137652,GB19FUBZ40751530721434,LGJKGB1JTI2,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0,1.0625468991785216
Jack Fuller,056704839,GB,JFYW62807878466142,GB70MKNM28089008883657,MLCTGBMZJKN,1,219.3,0,1,Surburban,0,Phone,Buy One Get One,0,0.8478462877302632
Raymond Ryan,026371153,GB,MNOV90647070481036,GB78TLLN81690032936464,QVSWGB5F7DG,6,40.07,1,0,Surburban,1,Phone,Discount,0,1.17571279957547
Brendan Mercer,094667491,GB,TOBB87835979300186,GB61UUDM83821032764760,MAFPGBA8DMN,4,474.94,0,1,Urban,1,Web,Discount,0,1.437780928405147
Melissa Jordan,083608283,GB,GMVF09819825837119,GB59VEOL52205361729465,BHCWGBVL48Y,8,43.16,0,1,Urban,1,Phone,No Offer,0,-0.2651168420794052
Stephen Smith,099344104,GB,QDVK67274537738518,GB39BYSL71798291886866,NKKFGB79N74,10,307.64,0,1,Urban,0,Multichannel,Discount,0,0.9264837508534003
Jennifer Conley,027765072,GB,AKSI55340623446779,GB19QAVJ22276412186542,JNYVGB183MD,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,1.9656034226653931
Michele Lewis,055335814,GB,ENGI07120864039093,GB11ALBT32758841172112,IARVGB26QBI,10,489.29,0,1,Surburban,0,Phone,Discount,0,0.9136281336623193
Jody Wright,010912476,GB,KVON65507721841450,GB55YJJM37540524543078,TBOFGBQSQUA,1,169.31,0,1,Rural,1,Web,Buy One Get One,0,0.7249360632699613
Amy Hunter,058355406,GB,FUKQ13910480145639,GB19MVSN99169679033764,KEZRGBPWQON,9,29.99,1,0,Urban,0,Web,Buy One Get One,0,0.6092499400130631
Lee Bass,083506123,GB,JZSD19538599508460,GB55OAPT72555751381635,PTZPGB73YL4,2,224.69,1,1,Urban,0,Web,Buy One Get One,0,1.539214311273231
Kyle Cabrera,086504326,GB,ZFPB17262386146362,GB52JIWR95551343650976,CETSGBQ05NP,10,29.99,0,1,Surburban,0,Web,No Offer,0,0.5449010243753745
Joshua Mitchell DDS,021946279,GB,GBQC53601518230845,GB87HAMO35209891128500,PEBHGBPECVI,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,1.138233036512497
Francisco Campbell,104841767,GB,QEME92551319723605,GB36VOSV15462215264418,QUAUGB6OJ5F,9,302.52,1,0,Urban,0,Phone,Discount,0,1.2970850647381356
Jason Pena,085239016,GB,YTEB77313874666942,GB10GXGQ78199491016403,CIUWGBBMGJP,9,311.81,1,0,Urban,0,Multichannel,Buy One Get One,1,2.2649807554988826
Jake Hammond,023095636,GB,QPFB30498853137604,GB70QSUH91168475180868,SWAEGBTHKR7,6,78.69,0,1,Surburban,0,Phone,Discount,0,0.9618290028077014
Jason Kelly,122510847,GB,MZZQ78287969634758,GB40EIEW23890192138727,TOGKGBDTVVL,11,164.9,0,1,Surburban,0,Phone,Buy One Get One,0,2.0339520813641583
Andrea Hanson,095771519,GB,USWV95289008615630,GB80QISK85360635147327,EPMMGB9RE70,10,29.99,1,0,Surburban,0,Phone,No Offer,0,1.014176875271793
Alicia Miller,112995401,GB,YOXA87684929397554,GB81IHMA56709702132003,CGOEGBV1D16,7,481.56,1,0,Surburban,0,Web,Discount,0,0.9850723462531106
Chad Barnes,070120224,GB,ISXW94930960129084,GB74WIKN03471950321321,QBEJGBCO3MJ,3,141.2,0,1,Surburban,1,Phone,No Offer,0,1.520115228727406
Stephen Brown,039494438,GB,HHAF65561966701847,GB53NGMQ45402757604449,PCTQGB2PYB2,5,173.65,1,0,Urban,0,Web,Buy One Get One,0,0.3299321816624592
Richard Pittman,125977296,GB,UHQW63318299629746,GB13FTDS55535424628514,IKCDGB04Q60,4,614.83,1,0,Urban,1,Multichannel,No Offer,0,0.6903766189837496
Christine Hines,103078104,GB,ZFEK64468196779585,GB43MQVE92180188766071,TRYSGBU8NOC,12,284.54,1,1,Surburban,0,Web,Discount,0,0.7335290796509817
Angel Martinez,052024982,GB,FGPO91593791410799,GB46PSYO86799887138047,OGPFGBLBBGO,1,960.02,1,1,Rural,1,Web,No Offer,1,2.2354147413535173
Laura Howe,093011912,GB,VRCP33762270491041,GB18FNGU35243889016230,VBUWGB54OJ4,12,29.99,0,1,Surburban,0,Phone,Buy One Get One,0,0.6651773681819609
Michael Miller,060588902,GB,AKND13486006941747,GB92VMBS34517672894595,UQIYGBOA8G7,11,223.39,1,0,Rural,1,Phone,Buy One Get One,0,1.3528725411286915
Kaitlyn Hernandez,119245866,GB,ACTY43738100442339,GB04HLWG36996526647500,ANEIGBJQOQ8,9,162.59,0,1,Urban,0,Phone,Discount,1,2.682905938468126
Jon Douglas,014104578,GB,YPHZ59083674499377,GB37LKNS11986661101079,AOOCGB4QF7I,3,65.26,1,0,Urban,0,Web,Discount,1,2.7025120874088904
Rachel Ortega,048590051,GB,GAYO20116487621866,GB55OTWP80081539411929,SEIQGBKTMJV,3,99.23,1,0,Rural,0,Web,Discount,1,2.456766981213039
Jennifer Rodriguez,099893590,GB,DDFC86239246864672,GB98CEWA21252955154170,EUXQGBSJIEN,1,790.36,1,1,Urban,1,Multichannel,Discount,0,1.3558712248361424
Terry Lewis,010744741,GB,CFMC62851832129572,GB53GIJM68833205134509,YZMAGB2GEOA,5,290.86,1,0,Urban,1,Web,No Offer,0,0.5235929411619229
Maureen Hall,100211249,GB,TMOL85041031542561,GB89GZYS72005234901677,QBOAGB8QHJZ,4,162.56,0,1,Urban,1,Phone,Buy One Get One,0,1.2071187939066865
Michael Brandt,119798892,GB,AFML55953587539557,GB06XJGV12393059189871,ATCLGBEMHL4,10,333.65,0,1,Surburban,0,Web,No Offer,0,0.6742450895674577
Anthony Smith,064012160,GB,ORXO04443364617617,GB39GXIV67024185515836,MBILGB9OZMT,3,29.99,1,0,Rural,0,Web,Buy One Get One,0,0.6430289149232493
Melissa Wilson,038150443,GB,QNAP61369897216152,GB58ZCGZ91048792016945,QWERGBK46OY,3,188.19,1,0,Urban,0,Phone,Discount,1,2.2752634596518986
Maria Anderson,105689258,GB,INQP64327758941901,GB75ANRB95879378070736,GRYRGBJ2OGW,9,1172.42,1,1,Surburban,1,Web,Discount,0,1.1277435079628741
Lynn Wilson,029010233,GB,SZKH89752422573664,GB31NUWY20106231046071,XZUEGBJ8337,5,29.99,0,1,Rural,1,Web,No Offer,0,1.4500709686997477
Pamela Coffey,017730570,GB,KGAB98586729643426,GB87CSAI57131558418519,HOHUGBEZ5BP,10,158.55,0,1,Surburban,0,Phone,Buy One Get One,0,0.6260132263023075
Ryan Ramirez,038732340,GB,NXAN03090207350465,GB42GGPM12002910268849,RHSAGBICVQF,1,752.8,1,1,Urban,1,Phone,No Offer,0,1.566777247528011
Sharon Martinez,058539536,GB,RPUY85872875625372,GB34NABW07439627118342,IMNBGBYRSJO,5,354.03,1,0,Urban,0,Web,Discount,0,1.1349149884111633
Taylor Collins,091994248,GB,YGGW32986707872608,GB63JROC00817775998090,NHPFGBAY321,7,78.49,0,1,Rural,0,Web,Buy One Get One,0,1.343285998413379
Catherine Mitchell,093268037,GB,KATD55595419882292,GB25IITJ41746720311340,KVLBGB7GJZE,2,29.99,0,1,Surburban,0,Phone,Discount,0,0.5780305778276096
Heather Gomez,038440438,GB,KPBZ34028660227950,GB75MAQE27070196699410,OVFYGBALIQS,4,69.08,0,1,Urban,0,Phone,Discount,0,1.2980237128983607
Kevin Navarro,100786208,GB,ERWJ77022442464900,GB90EKHQ52330391216928,XHNBGBK8K6Q,9,151.01,1,0,Surburban,0,Web,No Offer,0,0.7439779507773441
Jon Mora,063815232,GB,XEEO92282414605895,GB45JTUR62450710794802,MDSVGBA1PDQ,10,36.28,1,0,Urban,1,Web,No Offer,0,0.7437321258203708
Daniel Palmer,018739088,GB,RPZJ95461013965821,GB23DBXY78283195339000,IJBJGB3UTZO,1,68.5,0,1,Urban,0,Phone,No Offer,0,1.263343345997845
Laura Boyer,015392062,GB,YVYN24594709786463,GB47UUQI25535719808157,HAWOGBKHODY,9,116.3,1,0,Rural,1,Web,Discount,1,1.9553081268458379
