name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Bill French,2791 Ashley Keys,Codyberg,85955,(353)695-5906x55448,"Engineer, petroleum",2,101.64,0,1,Urban,0,Web,Discount,1,1.3006160689143722
Melissa Baldwin,2465 Tyler Canyon Apt. 425,Cameronfurt,84888,503-164-8520x75241,Private music teacher,4,241.42,0,1,Rural,1,Multichannel,No Offer,0,0.9895676006488121
David Mays,334 Eric Ford,Jonathantown,88861,001-510-883-2752x15185,Air broker,3,58.13,1,0,Urban,1,Web,No Offer,1,2.0545096251545174
Joseph Stone,6577 Timothy Summit,Nataliechester,85692,745.476.0200,Recruitment consultant,5,29.99,1,0,Surburban,0,Phone,Discount,0,0.877514641942875
Amber Pierce,73979 Cortez Pines Suite 965,Port Davidchester,88465,540.032.9745,Animal technologist,9,112.35,1,0,Rural,0,Web,Discount,0,1.2646934182978016
Todd Lopez,16221 Angie Lake Suite 023,Angelafort,26552,531.677.1137,Lexicographer,11,219.04,1,1,Surburban,0,Phone,Discount,0,0.7272232577901159
Dylan Harding,832 Elizabeth Crossroad,North Davidtown,82047,(884)225-1525x404,Social worker,5,828.42,1,0,Surburban,1,Multichannel,Discount,0,1.3553339237117474
Steven Schmidt,33448 Cohen Heights Suite 650,West Johnton,71159,618-473-4814,Electrical engineer,9,29.99,0,1,Surburban,1,Phone,No Offer,0,1.3248571578762478
Emily Johnson,3447 Kenneth Villages,Port Nicole,66244,001-204-034-8539x73564,Sales executive,11,182.32,1,0,Surburban,0,Phone,Discount,0,0.6195176918044552
Andrew Murphy,557 Smith Station,Jamesbury,49226,909-572-6418x4801,"Journalist, broadcasting",2,118.4,1,0,Surburban,0,Web,Discount,1,2.1110619495250034
Richard Reyes,0510 Olson Mount,East Brandonbury,18061,+1-002-141-8601x608,Accounting technician,2,29.99,0,1,Urban,1,Phone,No Offer,0,0.9174623519688756
Ruth Black,92576 Jeremy Ramp,Stonehaven,64791,7405094861,"Editor, film/video",4,78.24,1,0,Surburban,0,Web,No Offer,0,1.1349875341371065
Samuel Munoz,636 Matthews Lights Suite 595,Ericaborough,48449,(980)254-2208x4386,"Nurse, learning disability",6,139.87,0,1,Rural,1,Web,Discount,0,2.174489006430708
Michael Garcia,0662 Bradley Fort Suite 049,Thomasville,29858,769-716-2008x76109,Ship broker,12,115.39,0,1,Surburban,0,Phone,Discount,1,1.5786366308923039
Erin Griffith,29170 Baker Meadow,Thompsonfurt,07893,745.052.6586,Newspaper journalist,6,162.98,0,1,Surburban,0,Web,Discount,0,1.2837182397215046
Lori Smith,4521 Butler Estates Suite 512,New Melodyton,83956,+1-988-430-8003x644,Volunteer coordinator,7,435.73,0,1,Urban,1,Web,No Offer,0,0.5596799561281627
Lisa Bailey,62035 Meghan Causeway,Lake Patrick,71844,001-119-748-8545x25605,"Designer, fashion/clothing",2,203.35,1,0,Rural,0,Web,No Offer,0,0.8315047957381927
Stephen Burton,977 Fields Orchard Apt. 217,Williamsburgh,83658,(962)985-2946,"Psychotherapist, child",2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0,1.3077778571890155
Cynthia Hardin,78548 Lisa Estates Suite 232,Danielland,42518,051-363-0173x7147,Community development worker,9,334.24,1,0,Urban,0,Web,Discount,0,0.3760861228559006
Joseph Reed,48390 John Greens,Lake Reneeside,28460,001-044-349-9787x3900,"Scientist, research (medical)",6,128.01,0,1,Urban,0,Web,Discount,0,1.7036114771096718
Dawn Johnson,7296 Christian Plaza,North Aprilbury,67424,+1-242-083-0454,Armed forces logistics/support/administrative officer,9,29.99,1,0,Surburban,1,Phone,Discount,0,1.1709254981067492
Anthony Smith,9475 Jennifer Divide Suite 540,Kyleview,64639,083-201-3880x96191,Exhibition designer,3,29.99,1,0,Rural,0,Web,Buy One Get One,0,0.6430289149232493
Vincent Turner,49381 Watts Village Suite 204,Port Olivia,50383,+1-555-184-2577,Research scientist (medical),4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0,0.581820698106942
Anthony Carter,501 Pham Square,West Megan,67978,001-693-248-1679,Health physicist,1,514.52,0,1,Surburban,1,Web,Discount,0,0.7471159424591785
Ricky Copeland,296 Cabrera Ways Apt. 704,Lake Shirleybury,44461,503-997-3456,"Programmer, multimedia",4,766.47,1,1,Urban,1,Multichannel,Discount,0,0.8061080612538966
Ashley Davis,7023 Ross River Suite 893,Baxterfort,50084,773-851-4654,Oceanographer,10,63.79,1,0,Rural,1,Phone,Buy One Get One,0,0.18871357233092523
Kathy Lawrence,30292 Sheila Highway,East Sandraberg,75882,+1-549-648-1768x503,Herpetologist,7,520.43,0,1,Surburban,1,Web,Discount,0,0.18558026072648026
Joshua Potter,369 Reid Points Suite 826,Karafurt,85835,042.554.8834,Jewellery designer,11,236.97,1,1,Urban,1,Phone,Discount,0,0.7735135997660381
Rachel Ortega,60881 Williams Ville,Grahamville,10824,001-186-938-8675x933,Warden/ranger,3,99.23,1,0,Rural,0,Web,Discount,1,2.456766981213039
Michael Anderson,043 Fox Groves Apt. 856,North Chelseatown,97218,+1-323-628-3356,"Engineer, electronics",9,204.18,0,1,Surburban,0,Web,Buy One Get One,0,0.7909170456741427
Steven Cross,11960 Lynch Fords,Port Richardfurt,51297,535.373.4896,"Pharmacist, community",2,492.02,1,0,Surburban,0,Phone,No Offer,0,1.075013699980786
Phillip Durham,6247 Tammy View Apt. 534,Lake Emmafort,62091,382-647-2985,Corporate treasurer,1,48.32,0,1,Urban,0,Web,No Offer,0,1.0161834876117095
Andrea Hanson,5672 Jacob Stream Apt. 469,Wigginsmouth,74435,001-052-760-4050,Higher education careers adviser,10,29.99,1,0,Surburban,0,Phone,No Offer,0,1.014176875271793
Charles Rogers,1231 Wong Lights Apt. 537,Lake Stephanieland,52272,001-732-884-2888x25991,"Editor, commissioning",2,391.33,1,0,Surburban,0,Web,No Offer,0,0.8311754333335221
Suzanne Rodriguez,0707 Porter Glens,Fergusonmouth,60572,(141)754-8785,Patent attorney,1,729.7,1,1,Surburban,1,Web,Discount,0,1.2738130799191334
Juan Brennan,445 David Corner,Michelemouth,23016,001-789-863-0959,Manufacturing engineer,3,134.59,1,0,Urban,1,Phone,Buy One Get One,1,1.756039220191065
Susan Wheeler,9389 Brandon Point,East Manuelstad,55105,001-142-896-0370x3991,"Secretary, company",10,61.09,0,1,Surburban,0,Web,Buy One Get One,0,1.1600325570985088
Seth Cunningham,21370 Fields Stream Suite 100,Russellton,17954,006-674-8350x7072,Recycling officer,3,203.3,0,1,Surburban,0,Web,No Offer,0,0.5121166450821852
Brenda Garcia,0801 William Alley,East Michael,09761,424-746-1620,Artist,9,185.43,1,0,Urban,0,Web,Discount,0,1.0026547660686875
Michelle Wilson,843 Smith Shoals,Jenniferberg,12083,630-963-2628,Politician's assistant,7,29.99,0,1,Urban,1,Phone,Discount,0,0.7261574742884316
Kelly Benton,818 Hernandez Mountain,West Robert,11731,648-551-4483x113,Occupational therapist,9,78.62,1,0,Urban,0,Web,Discount,0,1.0825101382698685
Brittany Le,210 Christina Villages Suite 071,New Sandrashire,20308,+1-361-123-2502x8038,Regulatory affairs officer,12,150.06,0,1,Surburban,0,Phone,No Offer,0,1.343790718740341
Ms. Laura Barnes,641 Linda Views Apt. 405,Lake Joseph,59592,347-790-7264,Multimedia specialist,6,42.66,1,0,Surburban,0,Web,No Offer,0,1.8154063494443236
Ms. Elizabeth Good MD,8139 Ramirez Harbors,North Rose,30175,0601768473,"Designer, exhibition/display",12,69.08,0,1,Rural,0,Phone,Buy One Get One,0,0.4013243856624482
Jeremy Singleton,1221 Walter Branch Apt. 439,Michaelton,86829,256-045-6295,"Education officer, environmental",3,549.29,1,0,Surburban,1,Multichannel,No Offer,0,1.1625567848089249
Adrian Smith,696 Williams Lodge,South Cynthia,99876,(481)191-2998x34425,Cartographer,9,506.83,1,0,Rural,1,Multichannel,Discount,0,1.3101885455622244
Erin Wilkins,396 Nguyen Points,East Carlos,55695,243-866-2863x3111,"Engineer, production",3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0,1.0278944397552483
Christine Davis,5140 Rhonda Mountains Apt. 417,Hayesville,82041,+1-413-708-5638x880,Product manager,10,115.4,1,0,Urban,0,Phone,Discount,0,1.4878309046132892
Brandi Peterson,528 Paul Ways,North Nicholaschester,59107,+1-594-761-2134,Archivist,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,0.7532838133114785
Raymond Ryan,540 Joseph Green Suite 740,Beckershire,24405,(278)700-9631x6764,"Engineer, civil (contracting)",6,40.07,1,0,Surburban,1,Phone,Discount,0,1.17571279957547
Kimberly Casey,49166 Richard Burg Apt. 630,Lake Tarabury,33663,+1-872-698-0127x2690,"Administrator, sports",11,417.21,0,1,Urban,0,Phone,No Offer,0,1.3185635510902893
Kristi Ferguson,864 Angela Passage,New Kelly,52765,033-815-4915x3767,Mechanical engineer,9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0,1.1797668395241032
Kelly Barnes PhD,55154 Barker Road Apt. 173,Ballardport,10678,965-466-3306,Records manager,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,1.3484310618036321
Melissa Stevens,6772 Tina Knolls,Russoport,01028,001-268-326-3731x3339,"Education officer, environmental",1,259.91,0,1,Surburban,1,Web,No Offer,0,1.0316376682718442
Kelsey Franklin,5845 Moore Haven Suite 668,Lake Ryanton,82856,001-757-042-6460x63803,"Programme researcher, broadcasting/film/video",11,53.81,1,0,Urban,1,Phone,No Offer,0,0.9230926265671658
Sarah Williams,3005 Melton Square Suite 184,East Duane,07581,001-646-444-5720,Secondary school teacher,9,154.15,0,1,Surburban,0,Web,Discount,0,0.9848461159805783
Mark Gonzalez,389 James Crossroad,Debraview,11453,001-179-084-4749x4557,Solicitor,10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0,1.1510374681990891
Eric Rogers,60824 Oscar Fall Apt. 833,Debrastad,44148,422.028.9269,Amenity horticulturist,2,278.8,1,0,Rural,0,Web,Discount,0,1.4615543612028605
James Alvarez,1791 Adams Mountain,Davidstad,61230,860.004.7623x04243,"Engineer, biomedical",10,31.12,1,0,Urban,0,Phone,Buy One Get One,0,0.6433058540112322
Cassandra Reynolds,4725 Teresa Key,Benjaminside,82030,967-407-8433x2888,Proofreader,2,428.74,1,0,Rural,0,Phone,Discount,0,0.04853973684808588
David Kelley,3623 Mary Brooks Apt. 290,Port Kathleenside,07247,749.827.6842x48614,Architectural technologist,7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0,1.440925328697575
Benjamin Patrick,96189 Reeves Fall,Marieton,11118,212-840-1883x52595,Call centre manager,11,228.09,0,1,Surburban,1,Web,No Offer,0,1.0234602573414113
Ashley Collins,006 Taylor Ford,North Monica,17153,(064)548-4684,"Therapist, horticultural",1,640.58,0,1,Urban,1,Phone,Discount,0,1.0515018753057808
Mary Henry,38502 Heidi Creek,Danielland,92708,(326)411-0781,"Conservation officer, historic buildings",4,194.11,1,0,Urban,0,Phone,No Offer,0,0.9037999964005897
Leonard Robles,25110 Cindy Squares,Hillland,97617,(026)257-6637,"Librarian, public",7,84.49,0,1,Urban,1,Web,No Offer,0,0.6989725983835133
John Chavez,346 Scott Turnpike,Susanville,39072,001-770-482-0288x3018,Financial trader,7,235.14,0,1,Urban,1,Phone,Discount,0,1.150185840596603
Catherine Mitchell,03034 Walker Canyon,South Brandonchester,21885,(985)114-6629x7448,Primary school teacher,2,29.99,0,1,Surburban,0,Phone,Discount,0,0.5780305778276096
Nathan Smith,982 Simmons Lodge,West Jimmy,21657,7676510113,Chartered loss adjuster,7,272.32,1,0,Surburban,1,Web,Discount,0,0.6581996446384769
Rachael Flores,378 Jessica Plains Suite 640,Jackieville,56624,964.045.4001x3784,Chief Operating Officer,2,95.33,0,1,Surburban,0,Web,No Offer,1,1.197658995331256
Cassidy Taylor,147 David Fork Apt. 230,Transtad,53033,001-457-700-7011,"Social research officer, government",5,494.26,1,1,Surburban,1,Phone,Discount,0,1.2943467124373953
Abigail Jimenez,275 Johnson Divide,West Lynn,02952,853-634-2652x95052,Museum/gallery conservator,2,809.07,1,0,Urban,1,Phone,Discount,0,1.6634490166850893
Sarah Richards,6133 Jennifer Extensions,Stevenfort,86766,+1-415-399-8556,Commercial/residential surveyor,1,80.42,0,1,Urban,1,Phone,Buy One Get One,0,1.185956992778488
Levi Burnett,262 Perry Extensions,Dennisport,08587,+1-169-101-1275x8584,Site engineer,10,237.85,1,0,Urban,0,Web,Buy One Get One,0,0.9340537946644665
Kristin Sosa,419 Christopher Points,Kathrynport,35226,(890)849-9381,"Nurse, children's",2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0,0.9353217200190084
Molly Mullins,2794 Steven Islands,Linborough,20864,435.614.6606x6238,Audiological scientist,6,165.77,0,1,Urban,0,Web,Buy One Get One,1,2.135676735301974
Larry Walker,199 Brenda Junction,West Amymouth,56020,+1-969-062-9097x594,Government social research officer,3,101.61,0,1,Surburban,1,Phone,No Offer,0,1.6063898821566056
Samantha Nicholson,432 Zamora Drive Suite 097,Wrightburgh,43072,(732)172-6309,"Exhibitions officer, museum/gallery",8,52.64,0,1,Surburban,1,Web,No Offer,0,1.0361894227180324
Michael Gibson,12240 Walker Curve Apt. 861,Lake Bethborough,63530,001-886-762-1220x99275,Copy,6,466.29,1,0,Urban,1,Multichannel,Discount,0,1.2189146370198523
Courtney Lloyd,479 Autumn Mall,New Patrick,00584,+1-688-284-1694x639,Horticultural consultant,3,100.85,1,0,Urban,1,Phone,Discount,0,2.63217710493904
Joshua Mitchell DDS,4019 Jeremiah Walks Suite 238,Jesseburgh,27074,758.421.5077x1596,Building services engineer,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,1.138233036512497
Kelly Elliott,990 White Roads Apt. 654,Elizabethland,10740,410.630.5007,Hydrographic surveyor,2,770.58,0,1,Surburban,1,Phone,Discount,0,1.313511858069706
Robert Stevens,0553 Mark Greens Suite 660,West Douglasville,11920,+1-638-687-9359,Environmental manager,3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0,0.793550174615599
Andrew Torres,29193 Patrick Fords,New Frank,05597,248-167-4544x46789,Technical author,3,133.51,1,0,Urban,0,Web,Discount,0,1.0202656501516976
Glenda Miller,964 Turner Canyon Suite 823,Morrisonton,02890,921-240-6830,"Administrator, charities/voluntary organisations",8,31.52,0,1,Surburban,0,Web,Discount,0,1.0035706897717744
Michelle Mcconnell,48783 Rachel Dam,North Sherylberg,17848,001-122-865-2960,Probation officer,1,47.44,0,1,Urban,0,Phone,Buy One Get One,0,0.9317476159212035
George Adams,33463 Butler Knoll Suite 563,Meganfort,93706,156-227-3767x3414,Minerals surveyor,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0,1.0625468991785216
Margaret Douglas,52842 Smith Row Suite 009,East Samanthafurt,64626,620-958-4256,Meteorologist,11,215.46,0,1,Urban,0,Web,Buy One Get One,0,1.2912470489499732
Jessica Mitchell,43313 Lynn Turnpike,Brewerville,45869,+1-907-359-4684,"Designer, fashion/clothing",11,189.25,0,1,Urban,1,Phone,No Offer,0,1.3159846920081792
Kimberly Boyle,970 Theresa Rue Suite 921,Jamiefort,96836,616-002-4613x43196,"Engineer, electrical",10,108.12,1,0,Urban,0,Web,Buy One Get One,0,1.1341949027799891
Kevin Castillo,2246 Alvarado Harbor,Kathyhaven,37303,(914)304-5360x7370,"Psychologist, clinical",8,66.14,1,0,Surburban,1,Phone,No Offer,0,1.7720409575733256
Cassandra English,484 Lisa Roads Suite 364,New Marybury,95126,(662)291-7009x65099,"Designer, textile",8,98.56,1,0,Surburban,1,Web,Buy One Get One,0,0.7186504594289101
Kayla Jones,9387 Ponce Falls Apt. 698,New Timothyport,14031,378.495.2614,Airline pilot,6,129.14,1,0,Surburban,0,Web,Buy One Get One,0,1.3246442463111123
William Brady,88220 Jennifer Row Apt. 758,Carolineborough,87848,+1-560-692-2597x31034,Hospital pharmacist,2,493.17,0,1,Surburban,0,Web,Buy One Get One,0,1.255768043897514
Leslie Myers,6096 Miller Locks Apt. 706,Brooksberg,16136,012.168.2828x0621,Health service manager,11,146.04,0,1,Surburban,1,Phone,Discount,0,1.5529196545462352
Kristen Mckenzie,3589 Wanda Cliffs,East Debrashire,38518,984-167-1239,Accommodation manager,12,29.99,0,1,Urban,1,Web,No Offer,0,1.435988560312881
James Schmidt,8911 Samantha Spring Apt. 659,Lydiashire,79158,113-180-7928,Food technologist,2,66.6,1,0,Urban,1,Phone,Buy One Get One,0,0.9115882590252908
Dominic Barnett,84638 Jones Orchard,Lake Ronald,80501,(929)433-9614,Leisure centre manager,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0,1.0679464461642523
Edward Jones,92647 Norris Drive Suite 360,Rebeccachester,83754,+1-093-633-7611x7736,"Engineer, chemical",4,54.41,0,1,Urban,1,Phone,Buy One Get One,0,1.0374217574917846
Maria Anderson,9173 Angela Views,Ashleyberg,16364,+1-156-658-4447x53128,Applications developer,9,1172.42,1,1,Surburban,1,Web,Discount,0,1.1277435079628741
Lisa Ford,553 Mark Pass Apt. 033,Mcdonaldborough,10516,145.634.4819,Retail manager,5,244.34,0,1,Urban,1,Web,Discount,0,1.4241085752550746
Russell Jones,79148 Weaver Rue,Lake Jordanton,87027,8741641847,Microbiologist,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,1.0786175271685208
Makayla Warren,077 Gregory Creek Apt. 195,Port Danielfurt,79106,(425)677-3478x16352,Sub,4,29.99,0,1,Urban,1,Web,Buy One Get One,0,0.7443475365975243
Kevin Navarro,652 Sweeney Crest,West Davidburgh,96310,494-555-7621,Water engineer,9,151.01,1,0,Surburban,0,Web,No Offer,0,0.7439779507773441
Jill Rodriguez,948 Soto Course Suite 723,South Williamhaven,06074,001-397-956-7152x19330,Dancer,11,35.43,1,0,Urban,1,Phone,Discount,0,0.3408957869892104
Melissa Powell,303 Castro Grove,Phillipsport,33855,452.108.7009x9577,"Administrator, charities/voluntary organisations",5,84.17,1,0,Urban,1,Web,Buy One Get One,0,1.3877814724191433
Brandon Burton,47925 Steven Squares Suite 147,Port Rachel,16278,001-907-542-9202,Pension scheme manager,3,313.6,0,1,Surburban,0,Phone,No Offer,0,0.7467597018514187
Catherine Clark,818 Patton Valley Suite 321,Hendersonhaven,58142,887.454.2518x075,Social researcher,1,117.27,0,1,Rural,0,Phone,Discount,0,1.1964757970402953
April Hernandez,685 Shaw Walks,Burnsland,58786,(747)133-3439x602,Commercial/residential surveyor,5,29.99,0,1,Surburban,0,Web,No Offer,0,1.4675194543380763
Matthew Tran,16580 Francis Camp,Lake Lucas,20880,3473894155,"Conservator, museum/gallery",3,1167.93,1,1,Rural,1,Web,Buy One Get One,0,1.364934796557072
Anthony James,92736 Potts Fall,Jessicamouth,17433,+1-018-244-5209x320,"Chemist, analytical",3,683.2,1,1,Rural,1,Multichannel,No Offer,0,0.8088404300247992
Michael Richards DDS,221 Ashley Manor,Wallaceview,92534,(600)618-4745,"Radiographer, diagnostic",1,110.07,0,1,Urban,0,Web,Discount,0,1.006440559579434
Linda Obrien,0910 Jennifer River,Christopherchester,25021,1351091502,Technical author,1,102.94,1,0,Urban,0,Web,Buy One Get One,0,1.2364763053718748
Mrs. Kristina Summers,72446 Copeland Station,Jamesmouth,04002,(706)152-3600,"Editor, film/video",2,29.99,0,1,Urban,0,Web,Discount,0,0.9805018778225834
Brandon Griffin,7236 Christina Circle,West Donna,24513,(031)157-1181,"Conservation officer, nature",11,160.04,1,0,Rural,0,Web,Discount,0,1.0590217470902386
Rebecca Hernandez,827 Shepard Roads Apt. 645,West Jennifer,20012,+1-383-025-6461x9064,Proofreader,1,418.68,0,1,Surburban,0,Web,No Offer,0,1.6946079670010807
Martha Sims,2920 Katelyn Curve,East Kevin,42535,+1-818-672-8028x07743,Information officer,11,316.23,1,0,Urban,1,Phone,Discount,0,0.8751860826992505
Taylor Cole,938 Scott Prairie,Ashleytown,35748,001-034-001-5976x82338,"Lighting technician, broadcasting/film/video",12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0,0.5518516275768491
Andrea Smith,4835 Sonia Forges,North Charlesstad,37909,4060383213,Customer service manager,9,329.96,0,1,Surburban,1,Phone,No Offer,0,1.548129243612769
Karen Marks,8403 Leslie Spring,Copelandfurt,30598,302-514-0521x777,Heritage manager,7,185.73,1,0,Surburban,0,Phone,Discount,0,0.3847246718774572
Christine Chambers,8704 Martin Curve Apt. 837,Jonesberg,64479,1229749321,Hydrographic surveyor,11,52.08,0,1,Urban,0,Web,Buy One Get One,0,1.1421925452028283
Juan White,205 Lauren Port Suite 241,Madelinetown,44426,2585802881,Homeopath,1,616.73,0,1,Urban,1,Web,Discount,0,1.5255197502385611
Paula Jacobs,1100 Katie Mountains Apt. 912,Jonesfurt,27648,+1-772-041-4793x5590,"Designer, exhibition/display",9,123.39,1,0,Urban,0,Phone,Buy One Get One,0,0.6274146952719954
Brittney Hall,991 Elizabeth Points,Justinchester,58064,435.536.3069x395,Clinical psychologist,3,249.71,1,0,Surburban,0,Phone,No Offer,0,1.3364989851711229
Kristina Williams,08734 Jessica Trace Apt. 186,Port Brian,15059,291.015.4576,"Engineer, maintenance (IT)",2,46.09,0,1,Urban,0,Web,No Offer,0,0.9493592163102308
Gloria Norman,894 Ayers Island,Mirandaport,84813,(558)917-0844x143,Operational investment banker,8,48.87,1,0,Surburban,1,Web,Discount,0,0.05694269277614816
Rebecca Hoffman DVM,33647 Bailey Shore Suite 571,West Belindaville,73334,(497)368-4487x5644,Chartered accountant,10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0,0.8995114761982916
Lisa Torres,5776 Patel Route Apt. 300,East Scottshire,68576,+1-084-728-9410x7623,Human resources officer,4,270.24,1,0,Urban,1,Phone,No Offer,0,1.2935548897891804
Jesse Thomas,962 Adams Inlet,Teresabury,06599,121-381-6624x4366,Astronomer,9,228.8,1,0,Surburban,0,Multichannel,Discount,1,1.9527042582574494
Bradley Clark,0231 Robert Stream,New Jamiemouth,21322,+1-632-485-0520,"Therapist, music",3,80.18,0,1,Urban,0,Phone,Buy One Get One,0,1.7011000730830612
Christopher Gutierrez,2776 Cody Hill Suite 434,Matthewmouth,64747,(959)196-6606x72434,Architect,11,131.76,0,1,Surburban,1,Web,Buy One Get One,1,2.553652645081149
Kaitlyn Hernandez,90752 Lauren Mountain,New Mark,83031,476-682-4525x965,Armed forces logistics/support/administrative officer,9,162.59,0,1,Urban,0,Phone,Discount,1,2.682905938468126
Mrs. Jasmine Herring,66461 David Meadow Suite 113,North Richardmouth,95709,+1-997-976-9735x31822,Consulting civil engineer,12,87.62,1,0,Urban,1,Phone,Discount,0,1.0481664040960523
Gregory Santos,166 Fernandez Village,Potterstad,92320,926.706.6732x0083,"Engineer, land",3,29.99,1,0,Surburban,0,Phone,Discount,0,1.8826451546586576
Keith Willis,195 Shannon Mountains,Bradyview,27208,(860)968-6273x1406,Homeopath,3,29.99,0,1,Urban,0,Web,Buy One Get One,0,0.5288309415818693
Brian Ortega,3835 Charles Highway,Erinview,01314,272-247-6189x62399,"Radiographer, therapeutic",7,59.96,1,0,Urban,1,Web,Buy One Get One,0,0.8088510674022819
Taylor Collins,24069 Amanda Lodge Suite 426,Lake Crystal,98768,(633)383-0147x86351,Purchasing manager,7,78.49,0,1,Rural,0,Web,Buy One Get One,0,1.343285998413379
Patricia Whitney,793 Ho Lodge Apt. 407,Jasmineton,53089,839.055.9250x57588,"Scientist, clinical (histocompatibility and immunogenetics)",2,29.99,0,1,Surburban,0,Phone,Discount,0,1.0740361425226386
Emma Mcpherson,584 Crystal Greens Apt. 770,Jacksonshire,04512,8834393567,Medical secretary,7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0,1.1128777924790845
Yvette Guzman,7450 Stafford Ports,Guerraside,46429,+1-979-569-0783x35590,Recycling officer,7,229.53,1,0,Surburban,0,Web,Discount,1,2.0632824234000537
Alvin Jimenez,7736 Jones Mountain,Alexisland,34027,639-205-7440,Advice worker,1,439.93,1,1,Rural,1,Multichannel,No Offer,0,0.9074171818221879
Timothy Green,02412 Miller Stream,Christianshire,57708,874-995-0977,Arts administrator,10,313.67,1,0,Rural,1,Phone,Buy One Get One,1,2.0607057156070585
Dana Fernandez,449 Kelly Harbor,Lake Markborough,32968,001-654-556-3380x68540,Occupational therapist,7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,0.9704967785389298
Jasmine Carey,837 Swanson Forks,East Matthew,57112,7493340004,Chief Executive Officer,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,2.377732478290522
Debra Daniel,683 Williams Union,Deniseborough,14114,001-894-469-8697x2252,"Scientist, research (medical)",2,289.55,0,1,Rural,0,Phone,No Offer,1,2.254925883931128
John Howell,744 Lester Mews Apt. 307,Jamesshire,70716,149.300.9289,"Producer, television/film/video",5,29.99,0,1,Surburban,1,Phone,Discount,1,2.321517984633856
Shane Curry,9496 Goodman Summit,Smithbury,83715,001-215-534-2076x50330,Technical author,9,274.29,1,0,Surburban,0,Web,No Offer,0,0.6500015871831857
Eric Jones,38374 Lisa Field,Markburgh,99738,(464)004-9893,English as a second language teacher,1,293.37,1,0,Surburban,0,Phone,No Offer,0,1.549428023007457
